region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index
jeju,창천초상천분교장,1992,해당없음,초,미활용,서귀포시 안덕면 상천리 470-2,33,0.8819672131147543
jeju,추자초횡간분교장,1991,해당없음,초,미활용,제주시 추자면 대서리 산68,34,0.8950819672131151
jeju,판포초등학교,1996,해당없음,초,대부,제주시 한경면 판포리 2846-1,29,0.6819672131147542
jeju,풍천초신풍분교장,1996,해당없음,초,대부,서귀포시 성산읍 신풍리 500,29,0.6819672131147542
jeju,하천초등학교,2001,해당없음,초,미활용,서귀포시 표선면 하천리 357-1,24,0.7639344262295084
jeju,화산초등학교,2001,해당없음,초,대부,서귀포시 표선면 세화리 1811-1,24,0.6163934426229508
jeju,화전분교장,1988,제주시,초,매각,제주시 애월읍 어도리 산25-1,37,0.5901639344262294
jeonbook,가천초 구룡분교,1992,완주,초,매각,완주군 경천면 용북리 468-1,33,0.5377049180327867
jeonbook,갈담초 금기분교,1998,임실,초,매각,임실군 운암면 운암리 533,27,0.4590163934426231
jeonbook,갈담초 옥정분교,2002,임실,초,매각,임실군 강진면 옥정리 235,23,0.4065573770491805
jeonbook,갈담초 학석분교,1993,임실,초,매각,임실군 강진면 학석리 164,32,0.524590163934426
jeonbook,감교초,1999,부안,초,매각,부안군 상서면 감교리 505,26,0.4459016393442625
jeonbook,개야도초 죽도분교,1992,군산,초,매각,군산시 옥도면 죽도 산 7,33,0.5377049180327867
jeonbook,개정초 운회분교,1999,군산,초,매각,군산시 개정면 운회리 373,26,0.4459016393442625
jeonbook,계북초 백암분교,1999,장수,초,매각,장수군 계북면 임평리 802,26,0.4459016393442625
jeonbook,계북초 월전분교,1991,장수,초,매각,장수군 계북면 월현 280,34,0.5508196721311475
jeonbook,계월초,1995,장수,초,매각,장수군 산서면 하월 312-1,30,0.4983606557377048
jeonbook,계화초,2024,부안,초,자체활용,부안군 계화면 계화리 233,1,0.2163934426229508
jeonbook,고산동초,2010,완주,초,매각,완주군 고산면 소향리 318-1,15,0.3016393442622951
jeonbook,고산초 수선분교,1999,완주,초,매각,완주군 비봉면 수선리 256,26,0.4459016393442625
jeonbook,고성초,2006,부안,초,자체활용,부안군 행안면  삼간리 405-1,19,0.45245901639344277
jeonbook,고수남초,1997,고창,초,매각,고창군 고수면 초내리 202,28,0.47213114754098384
jeonbook,고수초 조산분교,1992,고창,초,매각,고창군 고수면 상평리 257,33,0.5377049180327867
jeonbook,고절초,1998,남원,초,매각,남원시 보절면 괴양 187,27,0.4590163934426231
jeonbook,고창동초,1994,고창,초,매각,고창군 고창읍 월산리 499,31,0.5114754098360655
jeonbook,고창서초,1998,고창,초,매각,고창군 고창읍 덕정리 39,27,0.4590163934426231
jeonbook,고창서초 호암분교,1998,고창,초,매각,고창군 고창읍 신월리 90-2,27,0.4590163934426231
jeonbook,곰소초 석포분교,1993,부안,초,자체활용,부안군 진서면 석포리 546,32,0.6229508196721311
jeonbook,곰소초 진서분교,1999,부안,초,매각,부안군 진서면 진서리 648-1,26,0.4459016393442625
jeonbook,공음고,1994,고창,고,자체활용,고창군 공음면  칠암리 570-1,31,0.41311475409836085
jeonbook,공정초,1997,무주,초,매각,무주군 안성면 공정 1720,28,0.47213114754098384
jeonbook,공진초,2007,무주,초,매각,무주군 안성면 공진리 884-1,18,0.34098360655737714
jeonbook,관청초,2019,정읍,초,자체활용,정읍시 고부면 관청리 548,6,0.28196721311475414
jeonbook,관촌동초,1991,임실,초,자체활용,임실군 관촌면 방수리 654-1,34,0.6491803278688525
jeonbook,관촌초 회봉분교,1993,임실,초,매각,임실군 관촌면 회봉리 264,32,0.524590163934426
jeonbook,관촌초상월분교,1999,순창,초,매각,임실군 관촌면 신전리 107-2,26,0.4459016393442625
jeonbook,광덕초,1998,남원,초,매각,남원시 대강면 생암 257-1,27,0.4590163934426231
jeonbook,괴목초 초리분교,1991,무주,초,매각,무주군 적상면 북창 271,34,0.5508196721311475
jeonbook,구림초 금천분교,1993,순창,초,매각,순창군 구림면 금천리 378,32,0.524590163934426
jeonbook,구봉초,1998,진안,초,매각,진안군 주천면 운봉리 182-1,27,0.4590163934426231
jeonbook,구천초 오정분교,1992,무주,초,매각,무주군 무풍면 삼거 284-1,33,0.5377049180327867
jeonbook,금과중,2000,순창,중,매각,순창군 금과면 모정리 133,25,0.3344262295081968
jeonbook,금과초 금과서분교,1991,순창,초,매각,순창군 금과면 목동리 산 7,34,0.5508196721311475
